,cancion,danceability,energy,speachiness,acousticness,tempo
161,Money Trees,0.716,0.531,0.122,0.0703,71.994
162,TEXAS HOLD 'EM,0.727,0.711,0.078,0.582,110.012
163,Thinkin’ Bout Me,0.67,0.711,0.0563,0.536,163.998
164,FE!N (feat. Playboi Carti),0.569,0.882,0.06,0.0316,148.038
165,Illusion,0.654,0.799,0.124,0.0203,137.993
166,Austin,0.756,0.672,0.0522,0.464,114.935
167,End of Beginning,0.689,0.454,0.0584,0.0351,159.982
168,Cinderella,0.196,0.14,0.0353,0.892,58.637
169,Lovin On Me,0.943,0.558,0.0568,0.0026,104.983
170,redrum,0.677,0.628,0.0428,0.0134,76.43
171,Nonstop,0.465,0.745,0.0524,0.000113,141.331
172,Fast Car,0.711,0.292,0.037,0.313,103.951
173,Poetic Justice,0.779,0.572,0.378,0.157,135.956
174,Chasin' You,0.631,0.591,0.0277,0.657,97.074
175,Spin You Around (1/24),0.622,0.444,0.027,0.795,141.952
176,Wind Up Missin' You,0.756,0.782,0.287,0.304,89.956
177,How Did It End?,0.492,0.379,0.0257,0.785,83.993
178,TÚ NAME,0.76,0.747,0.0282,0.0675,128.912
179,晩餐歌,0.649,0.641,0.0251,0.433,102.983
180,The Prophecy,0.421,0.525,0.0472,0.825,167.927
181,Bank Account,0.884,0.347,0.35,0.015,75.016
182,Sum 2 Prove,0.827,0.552,0.274,0.0169,124.011
183,Power Trip (feat. Miguel),0.667,0.608,0.216,0.324,99.992
184,SHEESH,0.85,0.645,0.0502,0.0784,114.967
185,HIGHEST IN THE ROOM,0.598,0.427,0.0317,0.0546,76.469
186,Where the Wild Things Are,0.708,0.731,0.0345,0.0189,116.975
187,The Albatross,0.352,0.479,0.0583,0.655,172.013
188,I Hate It Here,0.485,0.562,0.0346,0.717,105.953
189,God's Plan,0.758,0.452,0.11,0.0322,77.168
190,Houdini,0.744,0.789,0.059,0.0036,116.985
191,thanK you aIMee,0.768,0.494,0.0442,0.0531,126.289
