,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
140,140,The Alchemy,0.49,0.47,0.21,0.588,78.831,"['alternative hip hop', 'boom bap', 'drumless hip hop']"
141,141,Stick Season,0.664,0.5,0.0651,0.799,117.896,['pov: indie']
142,142,幾億光年,0.444,0.684,0.027,0.00448,96.225,"['city pop', 'japanese soul']"
143,143,CARNIVAL,0.594,0.811,0.159,0.189,148.144,[]
144,144,I Can Fix Him (No Really I Can),0.661,0.257,0.045,0.768,106.896,['pop']
145,145,Wanna Be (with Megan Thee Stallion),0.919,0.629,0.376,0.0226,135.05,['southern hip hop']
146,146,ライラック,0.511,0.924,0.0584,0.00269,135.027,[]
147,147,Whatever She Wants,0.803,0.512,0.066,0.128,96.02,"['kentucky hip hop', 'r&b', 'rap']"
148,148,Training Season,0.812,0.587,0.0477,0.0349,123.041,"['dance pop', 'pop', 'uk pop']"
149,149,Freestyle,0.887,0.52,0.296,0.00158,91.933,[]
150,150,I Remember Everything (feat. Kacey Musgraves),0.429,0.453,0.0459,0.554,77.639,['classic oklahoma country']
151,151,Cowgirls (feat. ERNEST),0.621,0.779,0.0361,0.216,172.037,['contemporary country']
152,152,imgonnagetyouback,0.653,0.231,0.0367,0.859,84.903,[]
153,153,Clara Bow,0.686,0.318,0.0263,0.636,104.088,['pop']
154,154,Yeah Glo!,0.894,0.66,0.33,0.0243,148.072,['southern hip hop']
155,155,greedy,0.749,0.729,0.0321,0.261,111.004,['pop']
156,156,The Black Dog,0.527,0.27,0.038,0.707,154.042,['pop']
157,157,Best I Ever Had,0.395,0.922,0.375,0.19,162.361,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
158,158,HUMBLE.,0.908,0.621,0.102,0.000282,150.011,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
159,159,So High School,0.366,0.866,0.0466,0.0274,176.07,['pop']
160,160,Mask Off,0.833,0.434,0.431,0.0102,150.062,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
161,161,Money Trees,0.716,0.531,0.122,0.0703,71.994,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
162,162,TEXAS HOLD 'EM,0.727,0.711,0.078,0.582,110.012,"['pop', 'r&b']"
163,163,Thinkin’ Bout Me,0.67,0.711,0.0563,0.536,163.998,[]
164,164,FE!N (feat. Playboi Carti),0.569,0.882,0.06,0.0316,148.038,"['rap', 'slap house']"
165,165,Illusion,0.654,0.799,0.124,0.0203,137.993,"['dance pop', 'pop', 'uk pop']"
166,166,Austin,0.756,0.672,0.0522,0.464,114.935,[]
167,167,End of Beginning,0.689,0.454,0.0584,0.0351,159.982,"['pov: indie', 'psychedelic pop']"
168,168,Cinderella,0.196,0.14,0.0353,0.892,58.637,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']"
169,169,Lovin On Me,0.943,0.558,0.0568,0.0026,104.983,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
170,170,redrum,0.677,0.628,0.0428,0.0134,76.43,"['atl hip hop', 'hip hop', 'rap']"
171,171,Nonstop,0.465,0.745,0.0524,0.000113,141.331,[]
172,172,Fast Car,0.711,0.292,0.037,0.313,103.951,"['folk', 'lilith', 'singer-songwriter', ""women's music""]"
173,173,Poetic Justice,0.779,0.572,0.378,0.157,135.956,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
174,174,Chasin' You,0.631,0.591,0.0277,0.657,97.074,['contemporary country']
175,175,Spin You Around (1/24),0.622,0.444,0.027,0.795,141.952,['contemporary country']
176,176,Wind Up Missin' You,0.756,0.782,0.287,0.304,89.956,[]
177,177,How Did It End?,0.492,0.379,0.0257,0.785,83.993,['pop']
178,178,TÚ NAME,0.76,0.747,0.0282,0.0675,128.912,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
179,179,晩餐歌,0.649,0.641,0.0251,0.433,102.983,[]
180,180,The Prophecy,0.421,0.525,0.0472,0.825,167.927,['pop']
181,181,Bank Account,0.884,0.347,0.35,0.015,75.016,"['atl hip hop', 'hip hop', 'rap']"
182,182,Sum 2 Prove,0.827,0.552,0.274,0.0169,124.011,"['atl hip hop', 'atl trap', 'rap', 'trap']"
183,183,Power Trip (feat. Miguel),0.667,0.608,0.216,0.324,99.992,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
184,184,SHEESH,0.85,0.645,0.0502,0.0784,114.967,[]
185,185,HIGHEST IN THE ROOM,0.598,0.427,0.0317,0.0546,76.469,"['rap', 'slap house']"
186,186,Where the Wild Things Are,0.708,0.731,0.0345,0.0189,116.975,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
187,187,The Albatross,0.352,0.479,0.0583,0.655,172.013,['pop']
188,188,I Hate It Here,0.485,0.562,0.0346,0.717,105.953,['pop']
189,189,God's Plan,0.758,0.452,0.11,0.0322,77.168,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
190,190,Houdini,0.744,0.789,0.059,0.0036,116.985,"['dance pop', 'pop', 'uk pop']"
191,191,thanK you aIMee,0.768,0.494,0.0442,0.0531,126.289,['slowed and reverb']
192,192,Whiskey Glasses,0.65,0.845,0.0499,0.014,123.038,['contemporary country']
193,193,WAIT FOR U (feat. Drake & Tems),0.505,0.536,0.156,0.0756,84.755,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
194,194,Low Down,0.962,0.619,0.405,0.0354,127.956,"['atl hip hop', 'atl trap', 'rap', 'trap']"
195,195,Passionfruit,0.809,0.463,0.0396,0.256,111.98,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
196,196,Stick Talk,0.729,0.672,0.282,0.0265,159.903,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
197,197,"Bitch, Don’t Kill My Vibe",0.587,0.698,0.0943,0.0152,133.954,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
