,Unnamed: 0.1,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista,imagenes,urlSpot
60,60,60,Bohemian Rhapsody - Remastered 2011,0.397,0.386,0.0503,0.271,144.242,Queen,https://i.scdn.co/image/ab67616d0000b273f7b6f1d6b235e8e70ecc4407,https://open.spotify.com/album/1Q9NOisnaTULM5CZD4rIgZ
61,61,61,Hotel California - 2013 Remaster,0.579,0.508,0.027,0.00574,147.125,Eagles,https://i.scdn.co/image/ab67616d0000b27396d28597a5ae44ab66552183,https://open.spotify.com/album/2Tz88LCwtg5sli8x2YjJyF
62,62,62,Somebody That I Used to Know,0.864,0.495,0.037,0.591,129.062,Gotye,https://i.scdn.co/image/ab67616d0000b273e1d47c00ddecbfb810c807ed,https://open.spotify.com/album/1HjSyGjmLNjRAKgT9t1cna
63,63,63,Pompeii,0.679,0.715,0.0407,0.0755,127.435,Bastille,https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3,https://open.spotify.com/album/64fQ94AVziavTPdnkCS6Nj
64,64,64,Down 2,0.62,0.776,0.0365,0.36,93.964,Luke Bryan,https://i.scdn.co/image/ab67616d0000b2734768480cf7c817b1f2d12113,https://open.spotify.com/album/0wnaUYW25dVLAzk41fp1Ez
65,65,65,Sugar (feat. Francesco Yates),0.776,0.118,0.0569,0.896,119.944,Francesco Yates,https://i.scdn.co/image/ab67616d0000b273ab4aec0222b94e2d7c5c6a59,https://open.spotify.com/album/24TT3jzVoaZb4j8L5HKUNs
66,66,66,Another One Bites The Dust - Remastered 2011,0.932,0.528,0.161,0.115,109.975,Queen,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47,https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa
67,67,67,Numb,0.357,0.882,0.0673,0.739,105.301,Paul Kossoff,https://i.scdn.co/image/ab67616d0000b2734c944ce2b054539f5d272a21,https://open.spotify.com/album/1uIM6TngoKF0S8oPaDZPvv
68,68,68,Timber,0.598,0.554,0.0273,0.123,124.918,Pitbull,https://i.scdn.co/image/ab67616d0000b2732e310e3e24502baa53182b14,https://open.spotify.com/album/1e59JnYLO3n6srpPN3mH3p
69,69,69,Call Me Maybe,0.782,0.58,0.0407,0.0114,120.021,Carly Rae Jepsen,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c,https://open.spotify.com/album/29blfJv8AddJrjuG3DpE13
