,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista
190,190,Houdini,0.744,0.789,0.059,0.0036,116.985,Dua Lipa
191,191,thanK you aIMee,0.768,0.494,0.0442,0.0531,126.289,Grailz Beni
192,192,Whiskey Glasses,0.65,0.845,0.0499,0.014,123.038,Morgan Wallen
193,193,WAIT FOR U (feat. Drake & Tems),0.505,0.536,0.156,0.0756,84.755,Future
194,194,Low Down,0.962,0.619,0.405,0.0354,127.956,Lil Baby
195,195,Passionfruit,0.809,0.463,0.0396,0.256,111.98,Drake
196,196,Stick Talk,0.729,0.672,0.282,0.0265,159.903,Future
197,197,"Bitch, Don’t Kill My Vibe",0.587,0.698,0.0943,0.0152,133.954,Kendrick Lamar
198,198,LOVE. FEAT. ZACARI.,0.8,0.585,0.0924,0.264,126.058,Kendrick Lamar
199,199,Madonna,0.905,0.492,0.0595,0.0149,110.017,Madonna
200,200,Entre las de 20,0.774,0.736,0.0452,0.0933,135.788,Bizarrap
201,201,Si No Quieres No,0.786,0.786,0.0512,0.445,100.123,Luis R Conriquez
202,202,Vicio Duro,0.779,0.576,0.0381,0.311,119.981,Adverzo
203,203,"Natanael Cano: Bzrp Music Sessions, Vol. 59",0.671,0.8,0.0695,0.0595,166.9,Bizarrap
204,204,Y LLORO,0.728,0.589,0.0376,0.424,77.475,Junior H
205,205,Brillarosa,0.771,0.782,0.0341,0.305,125.027,Fuerza Regida
206,206,300 Noches,0.795,0.781,0.0812,0.296,124.133,Jorge Quintero
207,207,Sola Va A Caer,0.88,0.689,0.118,0.166,115.959,Anthony Ready & Yeigo
208,208,El Boss,0.777,0.535,0.0559,0.0661,132.272,Gabito Ballesteros
209,209,EXCESOS,0.742,0.873,0.0519,0.172,128.053,Sebastian Esquivel
210,210,Elvira,0.76,0.711,0.0646,0.0812,128.134,Oscar Maydon
211,211,La Torre,0.182,0.114,0.0348,0.974,69.665,Vizkel
212,212,ADIVINO,0.786,0.854,0.0741,0.169,117.994,Tomaso Albinoni
213,213,Que Onda,0.808,0.944,0.0408,0.183,124.934,Calle 24
214,214,Santa,0.89,0.281,0.3,0.471,149.984,Big Canttiggity
215,215,LADY GAGA,0.502,0.761,0.0389,0.47,164.784,Grupo Viada
216,216,MÏA,0.84,0.762,0.226,0.00736,99.987,Jennifer Lopez
217,217,RUBICON,0.868,0.745,0.268,0.187,139.9,Peso Pluma
218,218,BARBIEZ,0.62,0.738,0.0292,0.00879,127.982,Barbie
219,219,La Diabla,0.751,0.819,0.0409,0.255,131.842,Xavi
220,220,Don Dimadon,0.858,0.811,0.187,0.015,121.976,Remp
221,221,LUNA,0.704,0.433,0.196,0.0708,113.943,5l33p
222,222,LA PEOPLE II,0.823,0.785,0.0542,0.296,131.849,Peso Pluma
223,223,Corazón de Piedra,0.834,0.763,0.0835,0.0354,134.844,Xavi
224,224,HARLEY QUINN,0.793,0.761,0.11,0.067,125.045,Fuerza Regida
225,225,En Terapia,0.743,0.893,0.0589,0.136,94.044,stivijoes
226,226,Mas Altas Que Bajadas,0.577,0.573,0.156,0.00561,181.072,Natanael Cano
227,227,SABOR FRESA,0.778,0.864,0.0907,0.0898,130.17,Fuerza Regida
228,228,Un Desperdicio,0.764,0.668,0.101,0.143,148.055,DJnando3
229,229,ATEO,0.772,0.807,0.519,0.00391,83.828,Atmosphere
